p:batch_size,p:eps,p:norm,objective,job_id,m:timestamp_submit,m:timestamp_gather
8,0.2646657222892804,1,-0.9792,0,0.02726888656616211,8.947001934051514
32,0.31675695589144803,2,-0.9573,1,0.027278900146484375,9.090768814086914
32,0.22825343088702302,2,-0.9658,2,8.972455024719238,12.653872966766357
16,0.0837964291511578,2,-0.9766,3,9.107945919036865,13.327831029891968
16,0.12086532136931867,1,-0.9794,5,13.345984935760498,17.22506284713745
16,0.1499252900661077,inf,-0.6373,6,17.243406772613525,23.460399866104126
2,0.31162012833170954,2,-0.9578,4,12.673147916793823,23.8734290599823
8,0.014662865652003445,1,-0.9798,7,23.734781980514526,27.108510971069336
4,0.2192895498914818,2,-0.9665,8,23.89164090156555,29.208307027816772
4,0.25746010045924456,1,-0.9792,9,27.126585960388184,32.789806842803955
8,0.12781259078033,1,-0.9793,10,29.229248046875,33.098978996276855
2,0.011225168025729263,inf,-0.9739,11,32.94699287414551,42.55831718444824
2,0.07811537697756181,inf,-0.8375,12,33.248775005340576,43.3475558757782
64,0.05100889732041838,inf,-0.9059,14,43.530569076538086,46.897948026657104
16,0.09911111751737871,inf,-0.7801,13,42.7578010559082,47.129785776138306
64,0.24558709634129638,inf,-0.3973,16,47.4901487827301,50.96020793914795
16,0.04071018000694617,inf,-0.9287,15,47.071982860565186,51.36173701286316
2,0.23886621650425183,inf,-0.4113,17,51.12858295440674,62.348827838897705
2,0.43216268387676754,inf,-0.1664,18,51.542092084884644,63.04678201675415
64,0.2001378445333788,inf,-0.5045,19,62.56141400337219,66.0533299446106
2,0.368165875320075,inf,-0.215,20,63.24274206161499,72.43009400367737
2,0.37245012387811954,inf,-0.2098,21,66.24067401885986,75.3157250881195
16,0.4257176088890654,inf,-0.1686,22,72.6004319190979,76.8318600654602
16,0.4731769244733403,inf,-0.146,23,75.5046739578247,80.44969296455383
64,0.49453963431264125,inf,-0.1402,24,77.02577304840088,81.14016318321228
64,0.4643177471984421,inf,-0.1503,25,80.86801886558533,84.51764106750488
64,0.4655724794453475,inf,-0.1493,26,81.38634085655212,85.15711688995361
2,0.4954809495371292,inf,-0.1396,27,84.72184085845947,93.9226381778717
2,0.4933130517103792,inf,-0.1401,28,85.36859083175659,94.4792058467865
32,0.4957037123241077,inf,-0.1398,29,94.09095811843872,97.61064410209656
32,0.4976331919638245,inf,-0.1396,30,94.65736103057861,98.21647596359253
8,0.49490153214448945,inf,-0.1399,32,98.38425493240356,101.5637891292572
2,0.49471687003344283,inf,-0.14,31,97.81013607978821,106.01272392272949
4,0.49852792689917524,2,-0.9338,33,101.86123490333557,106.80094695091248
64,0.49878106893053503,inf,-0.1395,34,106.18350100517273,109.32944107055664
64,0.496822065675967,inf,-0.1399,35,106.9704749584198,110.09971213340759
64,0.497276650367017,inf,-0.1397,36,109.49976992607117,112.63822484016418
64,0.49786634894731024,inf,-0.1396,37,110.26955485343933,113.47174310684204
16,0.49908927865381586,inf,-0.1391,39,113.64435195922852,117.6221649646759
4,0.4990681425138235,inf,-0.1391,38,112.80767297744751,117.78869676589966
64,0.4996729270675993,inf,-0.1392,40,117.78828501701355,120.76175117492676
4,0.4980145126332161,inf,-0.1396,42,121.05443787574768,125.86307883262634
2,0.49895097631868734,inf,-0.1393,41,117.94110798835754,126.17736101150513
32,0.49925003049025113,inf,-0.1393,43,126.03823804855347,129.5701198577881
32,0.4990883252698631,inf,-0.1391,45,129.75120210647583,133.43189692497253
2,0.49919675091647747,inf,-0.1392,44,126.46136093139648,135.33174300193787
16,0.4986156519857965,inf,-0.1398,46,133.61940622329712,137.62204909324646
2,0.4992530149551945,inf,-0.1393,47,135.5139079093933,144.17898082733154
2,0.4990542570819368,inf,-0.1391,48,137.80292105674744,146.41712498664856
64,0.49950385777032397,inf,-0.1392,50,146.59892106056213,149.8932499885559
2,0.4999508851719306,inf,-0.139,49,144.35210990905762,152.9692690372467
64,0.49899186026055636,inf,-0.1392,51,150.25261902809143,153.40092492103577
4,0.49888483692184366,inf,-0.1393,53,153.59503483772278,158.93939518928528
2,0.499048195707791,inf,-0.1391,52,153.1348831653595,162.05568313598633
16,0.49939767931697004,inf,-0.1392,54,159.10570979118347,163.1855571269989
