p:batch_size,p:eps,p:norm,objective,job_id,m:timestamp_submit,m:timestamp_gather
64,0.4994117839509514,inf,-0.1392,63,149.4157531261444,152.92541098594666
16,0.49916612787127085,inf,-0.1392,64,152.3019359111786,156.64550113677979
4,0.4989249752893293,inf,-0.1393,65,153.11775493621826,159.7321240901947
16,0.49952097283733,inf,-0.1392,66,156.83718585968018,161.94942712783813
8,0.49917974587225084,inf,-0.1392,67,159.96037602424622,165.02822279930115
4,0.49900094924567495,inf,-0.1392,68,162.17465901374817,168.8055899143219
64,0.49891780614097914,inf,-0.1394,69,165.45060110092163,169.30050611495972
8,0.4999805913897038,inf,-0.139,71,169.5317599773407,174.3872230052948
8,0.4990309048023435,inf,-0.1391,72,174.63409090042114,179.582603931427
2,0.49977786529752033,1,-0.9801,70,169.0264868736267,180.51838779449463
32,0.4999518742857373,inf,-0.1391,73,179.83400201797485,184.7835340499878
32,0.4989449694984115,inf,-0.1394,74,180.7725179195404,185.6631269454956
16,0.49900751724462394,inf,-0.1392,76,185.93047308921814,191.80135202407837
2,0.4999125627906699,inf,-0.139,75,185.04238390922546,199.0632300376892
4,0.49908445567514914,inf,-0.1391,77,192.22886991500854,201.8360300064087
4,0.49926941133395525,inf,-0.1393,78,199.39868998527527,210.713721036911
2,0.4991997026918691,inf,-0.1392,79,202.16388487815857,217.6998450756073
2,0.49943237144490754,inf,-0.1392,80,211.0638189315796,224.7729299068451
2,0.49905427057098667,inf,-0.1391,81,217.9626820087433,229.83313703536987
16,0.499627271227552,inf,-0.1392,82,225.03553295135498,230.53169703483582
4,0.4998757803388428,2,-0.9338,83,230.08920693397522,236.38491988182068
64,0.49929604890640655,inf,-0.1392,85,236.62506008148193,240.32866501808167
2,0.4995530063373855,inf,-0.1392,84,230.776869058609,242.024188041687
64,0.49910694638406017,inf,-0.1391,86,240.74003791809082,244.3979470729828
8,0.4996023928020064,inf,-0.1392,88,244.62061619758606,248.64762902259827
8,0.4997999329780549,inf,-0.1391,89,248.87603282928467,252.86249208450317
2,0.49980039681594496,inf,-0.1391,87,242.2601671218872,253.70328307151794
64,0.49900263082012886,inf,-0.1392,91,253.93401098251343,257.88813304901123
4,0.4997660796356111,inf,-0.1391,90,253.09344696998596,259.5929698944092
8,0.49998342107179355,inf,-0.139,92,258.11030101776123,262.47042083740234
8,0.49982273291607976,inf,-0.139,94,262.6873939037323,269.1245059967041
2,0.4978815195638379,inf,-0.1394,93,259.8168511390686,271.9055519104004
4,0.49970441564417,inf,-0.139,95,269.58644008636475,276.3325319290161
4,0.4995562697005948,inf,-0.1392,96,272.10578083992004,277.91584300994873
64,0.49902365153901246,inf,-0.1392,97,276.5449969768524,280.1411859989166
16,0.49850385773366795,inf,-0.1398,99,280.34892416000366,284.9790139198303
2,0.4994220233134792,inf,-0.1392,98,278.1285810470581,288.0474579334259
